instance,number,sup,cpm,mis,misr,omega,class,comb. class,other class
0.0,0.0,0.75,0.0,0.17045454545454547,0.041666666666666664,0.0,0.0,0.0,
0.0,0.0125,0.75,0.0,0.078125,0.01488095238095238,0.0,0.0,0.0,
0.0,0.025,0.75,0.0,0.036931818181818184,0.0027777777777777775,0.0,0.0,0.0,
0.0,0.037500000000000006,0.75,0.0,0.015625,0.0015873015873015873,0.0,0.0,0.0,
0.0,0.05,0.5,0.0,0.009943181818181818,0.010912698412698412,0.0,0.0,0.0,
0.0,0.0625,0.5,0.0,0.03551136363636364,0.010912698412698412,0.0,0.0,0.0,
0.0,0.07500000000000001,0.5,0.0,0.018465909090909092,0.001488095238095238,0.0,0.0,0.0,
0.0,0.08750000000000001,0.5,0.0,0.01278409090909091,0.0018849206349206347,0.0,0.0,0.0,
0.0,0.1,0.5,0.06666666666666667,0.011363636363636364,0.0007936507936507937,0.0,0.0,0.0,
0.0,0.1125,0.5,0.06666666666666667,0.0078125,0.0005952380952380952,0.0,0.0,0.0,
0.0,0.125,0.5,0.2,0.00390625,0.0011904761904761904,0.0,0.0,0.0,
0.0,0.1375,0.5,0.22222222222222224,0.009232954545454546,0.0,0.0,0.0,0.0,
0.0,0.15000000000000002,0.5,0.24444444444444446,0.00390625,0.0,0.0,0.0,0.0,
0.0,0.1625,0.5,0.2555555555555556,0.005326704545454546,0.0,0.0,0.0,0.0,
0.0,0.17500000000000002,0.5,0.022222222222222223,0.0019886363636363634,0.0,0.0,0.0,0.0,
0.0,0.1875,0.75,0.044444444444444446,0.02556818181818182,0.0,0.0,0.0,0.0,
0.0,0.2,0.75,0.044444444444444446,0.0026988636363636364,0.0,0.0,0.0,0.0,
0.0,0.21250000000000002,0.75,0.03333333333333333,0.009943181818181818,0.0,0.0,0.0,0.0,
0.0,0.225,0.75,0.26666666666666666,0.001775568181818182,0.0,0.0,0.0,0.0,
0.0,0.23750000000000002,0.75,0.22222222222222224,0.005681818181818182,0.0,0.0,0.0,0.0,
0.0,0.25,0.75,0.2,0.004971590909090909,0.0,0.0,0.0,0.0,
0.0,0.2625,0.75,0.06666666666666667,0.003551136363636364,0.000496031746031746,0.0,0.0,0.0,
0.0,0.275,0.75,0.011111111111111112,0.017045454545454544,0.001984126984126984,0.0,0.0,0.0,
0.0,0.28750000000000003,0.75,0.022222222222222223,0.006392045454545455,0.0,0.0,0.0,0.0,
0.0,0.30000000000000004,0.75,0.022222222222222223,0.006392045454545455,0.0006944444444444444,0.0,0.0,0.0,
0.0,0.3125,0.75,0.044444444444444446,0.02556818181818182,0.0,0.0,0.0,0.0,
0.004545454545454545,0.0,0.25,0.0,0.01278409090909091,0.0,1.0,0.0,0.0,
0.004545454545454545,0.0125,0.25,0.0,0.008522727272727272,0.0,1.0,0.0,0.0,
0.004545454545454545,0.025,0.25,0.0,0.003551136363636364,0.0,1.0,0.0,0.0,
0.004545454545454545,0.037500000000000006,0.25,0.0,0.0018465909090909093,0.0,1.0,0.0,0.0,
0.004545454545454545,0.05,0.75,0.0,0.09232954545454546,0.0,1.0,0.0,0.0,
0.004545454545454545,0.0625,0.75,0.0,0.03196022727272727,0.0,1.0,0.0,0.0,
0.004545454545454545,0.07500000000000001,0.75,0.0,0.017045454545454544,0.0,1.0,0.0,0.0,
0.004545454545454545,0.08750000000000001,0.75,0.0,0.004971590909090909,0.0,1.0,0.0,0.0,
0.004545454545454545,0.1,1.0,0.0,0.0390625,0.0,1.0,0.0,0.0,
0.004545454545454545,0.1125,1.0,0.0,0.01278409090909091,0.0,1.0,0.0,0.0,
0.004545454545454545,0.125,1.0,0.0,0.0078125,0.0,1.0,0.0,0.0,
0.004545454545454545,0.1375,1.0,0.0,0.0032670454545454543,0.0,1.0,0.0,0.0,
0.004545454545454545,0.15000000000000002,0.5,0.0,0.014204545454545456,0.0,1.0,0.0,0.0,
0.004545454545454545,0.1625,0.5,0.0,0.010653409090909092,0.0,1.0,0.0,0.0,
0.004545454545454545,0.17500000000000002,0.5,0.0,0.004048295454545455,0.0,1.0,0.0,0.0,
0.004545454545454545,0.1875,0.5,0.0,0.0019886363636363634,0.0,1.0,0.0,0.0,
0.004545454545454545,0.2,0.75,0.2,0.001278409090909091,0.0,1.0,0.0,0.0,
0.004545454545454545,0.21250000000000002,0.75,0.2,0.001065340909090909,0.0,1.0,0.0,0.0,
0.004545454545454545,0.225,1.0,0.03333333333333333,0.0046875,0.0,1.0,0.0,0.0,
0.004545454545454545,0.23750000000000002,1.0,0.03333333333333333,0.0018465909090909093,0.0,1.0,0.0,0.0,
0.004545454545454545,0.25,1.0,0.06666666666666667,0.0009232954545454546,0.0,1.0,0.0,0.0,
0.004545454545454545,0.2625,1.0,0.06666666666666667,0.0007102272727272727,0.0,1.0,0.0,0.0,
0.004545454545454545,0.275,1.0,0.1,0.00390625,0.0,1.0,0.0,0.0,
0.004545454545454545,0.28750000000000003,1.0,0.1,0.0009943181818181817,0.0,1.0,0.0,0.0,
0.004545454545454545,0.30000000000000004,1.0,0.2,0.0009943181818181817,0.0,1.0,0.0,0.0,
